Date,Time (s),X (m),Y (m),Z (m),VX (m/s),VY (m/s),VZ (m/s)
2000-01-01T11:58:55.816Z,0.000000000000000,-300.000000000000000,-0.000000000000171,0.000000000000000,0.000000000000000,-0.377350619222606,0.000000000000000
2000-01-01T11:59:55.816Z,60.000000000000000,-303.486692642644600,-22.486653911429528,0.000000000000000,-0.116180374023864,-0.369632591826837,0.000000000000000
2000-01-01T12:00:55.816Z,120.000000000000000,-313.931400287340470,-44.047825098409930,0.000000000000000,-0.231848593568275,-0.346512532789622,0.000000000000000
2000-01-01T12:01:55.816Z,180.000000000000000,-331.288079840736400,-63.762110614397244,0.000000000000000,-0.346494761869107,-0.308092361578002,0.000000000000000
2000-01-01T12:02:55.816Z,240.000000000000000,-355.480218369762950,-80.716249083895750,0.000000000000000,-0.459613487640262,-0.254541444687418,0.000000000000000
2000-01-01T12:03:55.816Z,300.000000000000000,-386.401170391314300,-94.009146605353110,0.000000000000000,-0.570706112975012,-0.186095849028436,0.000000000000000
2000-01-01T12:04:55.816Z,360.000000000000000,-423.914627994352800,-102.755849016547340,0.000000000000000,-0.679282911564784,-0.103057301280023,0.000000000000000
2000-01-01T12:05:55.816Z,420.000000000000000,-467.855221722009700,-106.091443011636770,0.000000000000000,-0.784865247545049,-0.005791857796826,0.000000000000000
2000-01-01T12:06:55.816Z,480.000000000000000,-518.029249564832800,-103.174868912705160,0.000000000000000,-0.886987685451533,0.105271709066148,0.000000000000000
2000-01-01T12:07:55.816Z,540.000000000000000,-574.215530851578900,-93.192628288066860,0.000000000000000,-0.985200041985501,0.229643801097924,0.000000000000000
2000-01-01T12:08:55.816Z,600.000000000000000,-636.166381273374600,-75.362370073152520,0.000000000000000,-1.079069370543371,0.366776152512749,0.000000000000000
2000-01-01T12:09:55.816Z,660.000000000000000,-703.608704743071100,-48.936339385385565,0.000000000000000,-1.168181869762325,0.516064246853823,0.000000000000000
2000-01-01T12:10:55.816Z,720.000000000000000,-776.245197276584800,-13.204673829739399,0.000000000000000,-1.252144707668513,0.676849981865165,0.000000000000000
2000-01-01T12:11:55.816Z,780.000000000000000,-748.495513127961200,27.698714641029560,0.000000000000000,1.221374629979551,0.615424199774842,0.000000000000000
2000-01-01T12:12:55.816Z,840.000000000000000,-677.765032680906100,59.870097361116030,0.000000000000000,1.135441561020771,0.458857550013525,0.000000000000000
2000-01-01T12:13:55.816Z,900.000000000000000,-612.342647186816000,82.996651656649220,0.000000000000000,1.044503158876256,0.314040723498817,0.000000000000000
2000-01-01T12:14:55.816Z,960.000000000000000,-552.516756197410200,97.802784906077220,0.000000000000000,0.948960304593291,0.181612111930027,0.000000000000000
2000-01-01T12:15:55.816Z,1020.000000000000000,-498.551088404517940,105.049583151912980,0.000000000000000,0.849234176888262,0.062155496407813,0.000000000000000
2000-01-01T12:16:55.816Z,1080.000000000000000,-450.683539052744100,105.531456027819730,0.000000000000000,0.745764395477077,-0.043802526030642,0.000000000000000
2000-01-01T12:17:55.816Z,1140.000000000000000,-409.125121232956300,100.072634786306000,0.000000000000000,0.639007083112680,-0.135794863793647,0.000000000000000
2000-01-01T12:18:55.816Z,1200.000000000000000,-374.059035679565800,89.523538864665210,0.000000000000000,0.529432854872711,-0.213415989800952,0.000000000000000
2000-01-01T12:19:55.816Z,1260.000000000000000,-345.639863172190640,74.757027006320470,0.000000000000000,0.417524743561094,-0.276323729156678,0.000000000000000
2000-01-01T12:20:55.816Z,1320.000000000000000,-323.992883101815660,56.664549463646810,0.000000000000000,0.303776070368922,-0.324240767548714,0.000000000000000
2000-01-01T12:21:55.816Z,1380.000000000000000,-309.213521205383600,36.152218244398340,0.000000000000000,0.188688270181363,-0.356955873725131,0.000000000000000
2000-01-01T12:22:55.816Z,1440.000000000000000,-301.366928903368030,14.136812725155266,0.000000000000000,0.072768681117193,-0.374324830658615,0.000000000000000
